P[Pa] / T[K] (Cp[J/kg/K]),100000,10000000,20000000,30000000,40000000,50000000,60000000
293.76,2016,2015,2010,2007,2004,2002,2000
334.15,2151,2153,2143,2140,2135,2130,2127
373.42,2298,2305,2296,2285,2280,2275,2270
434.65,,2531,2498,2488,2477,2473,2467
475.45,,2699,2655,2641,2631,2622,2613
535.32,,2965,2884,2864,2850,2840,2831
576.63,,3229,3081,3029,2979,2968,2940
633.84,,3565,3290,3162,3120,3110,3080
671.42,,3810,3310,3190,3145,3122,3100
